row_id,Game Name,Discount,Price,Rating,Release Date
0,Age of Wonders 4,-35%,"R$ 129,99",79.52%,May 2023
1,ICARUS,-50%,"R$ 50,99",70.52%,Dec 2021
2,Age of Water,-50%,"R$ 74,50",62.62%,Apr 2024
3,Age of Mythology: Retold,-20%,"R$ 79,99",86.80%,Sep 2024
4,Baldur's Gate 3,-20%,"R$ 159,99",95.98%,Aug 2023
5,Minishoot' Adventures,-25%,"R$ 29,99",93.96%,Apr 2024
6,UNDERDOGS,-42%,"R$ 51,61",92.38%,Jan 2024
7,The Legend of Heroes: Trails from Zero,-30%,"R$ 83,99",92.12%,Sep 2022
8,The Legend of Heroes: Trails to Azure,-25%,"R$ 89,99",91.53%,Mar 2023
9,STORY OF SEASONS: Friends of Mineral Town,-75%,"R$ 23,49",90.77%,Jul 2020
10,The Legend of Heroes: Trails into Reverie,-35%,"R$ 105,30",89.30%,Jul 2023
11,Anger Foot,-30%,"R$ 51,79",88.88%,Jul 2024
12,Rune Factory 3 Special,-60%,"R$ 55,99",88.72%,Sep 2023
13,The Legend of Heroes: Trails of Cold Steel IV,-60%,"R$ 64,80",88.16%,Apr 2021
14,The Legend of Heroes: Trails of Cold Steel III,-75%,"R$ 40,50",87.75%,Mar 2020
15,Syberia: The World Before,-80%,"R$ 21,80",87.17%,Mar 2022
16,The Legend of Heroes: Trails through Daybreak,-20%,"R$ 129,60",87.14%,Mar 2023
17,Garfield Kart - Furious Racing,-93%,"R$ 2,79",85.73%,Nov 2019
18,Rune Factory 4 Special,-70%,"R$ 35,99",83.94%,Dec 2021
19,BUTCHER,-85%,"R$ 2,99",81.91%,Oct 2016
20,STORY OF SEASONS: Pioneers of Olive Town,-65%,"R$ 55,99",80.50%,Sep 2021
21,The Binding of Isaac: Rebirth,-50%,"R$ 13,99",96.42%,Nov 2014
22,Resident Evil 4,-50%,"R$ 84,50",96.31%,Mar 2023
23,Ghost Trick: Phantom Detective,-50%,"R$ 64,50",94.05%,Jun 2023
24,Car Mechanic Simulator 2021,-62%,"R$ 28,11",93.75%,Aug 2021
